algo,ramSize,elements,reads,writes
LeanEvict,20000,1200000,20000,7277
Random,100,1200000,1043729,178882
Random,1000,1200000,688006,109101
Random,2000,1200000,497742,69765
Random,3000,1200000,391425,47970
Random,4000,1200000,332806,36012
Random,5000,1200000,293741,28722
Random,6000,1200000,264763,24200
Random,7000,1200000,240031,20876
Random,8000,1200000,218179,18371
Random,9000,1200000,197648,16581
Random,10000,1200000,178840,15042
Random,11000,1200000,160256,13735
Random,12000,1200000,143002,12722
Random,13000,1200000,126006,11842
Random,14000,1200000,108643,11077
Random,15000,1200000,93430,10411
Random,16000,1200000,77166,9654
Random,17000,1200000,61700,9079
Random,18000,1200000,46855,8500
Random,19000,1200000,32854,7895
Random,20000,1200000,20000,7277
S3-FIFO,100,1200000,873713,152850
S3-FIFO,1000,1200000,488262,69189
S3-FIFO,2000,1200000,329608,37718
S3-FIFO,3000,1200000,236499,19630
S3-FIFO,4000,1200000,221295,17808
S3-FIFO,5000,1200000,207256,16273
S3-FIFO,6000,1200000,193725,14804
S3-FIFO,7000,1200000,180331,13456
S3-FIFO,8000,1200000,180121,12811
S3-FIFO,9000,1200000,168732,11716
S3-FIFO,10000,1200000,161375,10712
S3-FIFO,11000,1200000,154697,10373
S3-FIFO,12000,1200000,147704,10054
S3-FIFO,13000,1200000,140485,9805
S3-FIFO,14000,1200000,122031,9423
S3-FIFO,15000,1200000,114168,9111
S3-FIFO,16000,1200000,76983,8798
S3-FIFO,17000,1200000,67118,8497
S3-FIFO,18000,1200000,57267,8135
S3-FIFO,19000,1200000,45868,7797
S3-FIFO,20000,1200000,35085,7527
W-TinyLFU,100,1200000,1108290,7277
W-TinyLFU,1000,1200000,944943,7277
W-TinyLFU,2000,1200000,834305,7277
W-TinyLFU,3000,1200000,748284,7277
W-TinyLFU,4000,1200000,667246,7277
W-TinyLFU,5000,1200000,599229,7277
W-TinyLFU,6000,1200000,535731,7277
W-TinyLFU,7000,1200000,472684,7277
W-TinyLFU,8000,1200000,420206,7277
W-TinyLFU,9000,1200000,382229,7277
W-TinyLFU,10000,1200000,335528,7277
W-TinyLFU,11000,1200000,296829,7277
W-TinyLFU,12000,1200000,250403,7277
W-TinyLFU,13000,1200000,215239,7277
W-TinyLFU,14000,1200000,184379,7277
W-TinyLFU,15000,1200000,150790,7277
W-TinyLFU,16000,1200000,119711,7277
W-TinyLFU,17000,1200000,93504,7277
W-TinyLFU,18000,1200000,70192,7277
W-TinyLFU,19000,1200000,51387,7277
W-TinyLFU,20000,1200000,39833,7277
WATT,100,1200000,930454,142754
WATT,1000,1200000,537692,52711
WATT,2000,1200000,376066,21446
WATT,3000,1200000,276295,13681
WATT,4000,1200000,233643,11556
WATT,5000,1200000,212991,10662
WATT,6000,1200000,197375,9837
WATT,7000,1200000,185314,9554
WATT,8000,1200000,174012,9199
WATT,9000,1200000,163526,8898
WATT,10000,1200000,152457,8650
WATT,11000,1200000,140139,8426
WATT,12000,1200000,127193,8270
WATT,13000,1200000,113394,8188
WATT,14000,1200000,100015,8137
WATT,15000,1200000,86832,8100
WATT,16000,1200000,72910,7966
WATT,17000,1200000,59395,7792
WATT,18000,1200000,45934,7660
WATT,19000,1200000,32070,7468
WATT,20000,1200000,20000,7277
lru,100,1200000,1018627,176454
lru,1000,1200000,639620,98059
lru,2000,1200000,438025,55933
lru,3000,1200000,276492,22009
lru,4000,1200000,210432,8786
lru,5000,1200000,206826,8754
lru,6000,1200000,203213,8734
lru,7000,1200000,199552,8705
lru,8000,1200000,195902,8687
lru,9000,1200000,192319,8660
lru,10000,1200000,188643,8621
lru,11000,1200000,184982,8595
lru,12000,1200000,181407,8560
lru,13000,1200000,97021,8426
lru,14000,1200000,93681,8365
lru,15000,1200000,90215,8300
lru,16000,1200000,86799,8238
lru,17000,1200000,50958,7936
lru,18000,1200000,47697,7824
lru,19000,1200000,31563,7527
lru,20000,1200000,20000,7277
mmclock,100,1200000,2,40017
mmclock,1000,1200000,2,40013
mmclock,2000,1200000,1,40013
mmclock,3000,1200000,166,40010
mmclock,4000,1200000,4,7279
mmclock,5000,1200000,2,7279
mmclock,6000,1200000,1,7277
mmclock,7000,1200000,1,7277
mmclock,8000,1200000,4,7280
mmclock,9000,1200000,1,7277
mmclock,10000,1200000,1,7278
mmclock,11000,1200000,48,7277
mmclock,12000,1200000,1,7277
mmclock,13000,1200000,1,7278
mmclock,14000,1200000,1,7278
mmclock,15000,1200000,1,7277
mmclock,16000,1200000,1,7277
mmclock,17000,1200000,1,7278
mmclock,18000,1200000,1,7277
mmclock,19000,1200000,1,7278
mmclock,20000,1200000,1,7278
opt,100,1200000,748884,121049
opt,1000,1200000,367566,41352
opt,2000,1200000,201968,8725
opt,3000,1200000,177336,8574
opt,4000,1200000,159123,8538
opt,5000,1200000,141123,8509
opt,6000,1200000,123123,8486
opt,7000,1200000,105592,8461
opt,8000,1200000,91211,8317
opt,9000,1200000,81614,8213
opt,10000,1200000,72614,8150
opt,11000,1200000,64040,8046
opt,12000,1200000,56040,7958
opt,13000,1200000,48398,7860
opt,14000,1200000,42398,7747
opt,15000,1200000,37280,7643
opt,16000,1200000,32280,7556
opt,17000,1200000,28142,7467
opt,18000,1200000,24593,7382
opt,19000,1200000,21746,7309
opt,20000,1200000,20000,7277
