algo,ramSize,elements,reads,writes
WATT,16000,0,16129,11741
WATT,17000,0,16128,11740
amclock,100,0,302250,69747
amclock,700,0,139524,42896
amclock,800,0,130296,40862
amclock,900,0,124946,40093
amclock,1000,0,119333,39147
amclock,2000,0,77162,29827
amclock,3000,0,56855,23973
amclock,4000,0,43508,20474
amclock,5000,0,35758,17675
amclock,6000,0,30398,15889
amclock,7000,0,26277,14614
amclock,8000,0,23306,13674
amclock,9000,0,21067,13014
amclock,10000,0,19463,12540
amclock,11000,0,18290,12256
amclock,12000,0,17441,12072
amclock,13000,0,16863,11932
amclock,14000,0,16449,11826
amclock,15000,0,16218,11765
amclock,16000,0,16129,11741
amclock,17000,0,16128,11740
lru,100,0,285763,74810
lru,700,0,153293,54085
lru,800,0,143881,51843
lru,900,0,135379,49559
lru,1000,0,128009,47720
lru,2000,0,79198,35542
lru,3000,0,52200,28019
lru,4000,0,40145,23664
lru,5000,0,33561,20781
lru,6000,0,29063,18647
lru,7000,0,25644,16885
lru,8000,0,22909,15438
lru,9000,0,20970,14393
lru,10000,0,19466,13565
lru,11000,0,18277,12889
lru,12000,0,17400,12410
lru,13000,0,16807,12083
lru,14000,0,16420,11880
lru,15000,0,16208,11775
lru,16000,0,16129,11741
lru,17000,0,16128,11740
opt,100,0,0,0
opt,700,0,0,0
opt,800,0,0,0
opt,900,0,0,0
opt,1000,0,0,0
opt,2000,0,0,0
opt,3000,0,0,0
opt,4000,0,0,0
opt,5000,0,0,0
opt,6000,0,0,0
opt,7000,0,0,0
opt,8000,0,0,0
opt,9000,0,0,0
opt,10000,0,0,0
opt,11000,0,0,0
opt,12000,0,0,0
opt,13000,0,0,0
opt,14000,0,0,0
opt,15000,0,0,0
opt,16000,0,0,0
opt,17000,0,0,0
thebest,100,0,0,0
thebest,700,0,0,0
thebest,800,0,0,0
thebest,900,0,0,0
thebest,1000,0,0,0
thebest,2000,0,0,0
thebest,3000,0,0,0
thebest,4000,0,0,0
thebest,5000,0,0,0
thebest,6000,0,0,0
thebest,7000,0,0,0
thebest,8000,0,0,0
thebest,9000,0,0,0
thebest,10000,0,0,0
thebest,11000,0,0,0
thebest,12000,0,0,0
thebest,13000,0,0,0
thebest,14000,0,0,0
thebest,15000,0,0,0
thebest,16000,0,0,0
thebest,17000,0,0,0
