algo,ramSize,elements,reads,writes
WATT,70000,1482866,65656,2180
lru,100,1482866,215274,12864
lru,600,1482866,166117,6382
lru,700,1482866,162849,5906
lru,800,1482866,160401,5610
lru,900,1482866,158337,5368
lru,1000,1482866,156532,5133
lru,2000,1482866,145003,4275
lru,3000,1482866,137160,3827
lru,4000,1482866,130997,3597
lru,5000,1482866,125946,3407
lru,6000,1482866,121386,3229
lru,7000,1482866,117265,3113
lru,8000,1482866,113382,3004
lru,9000,1482866,109903,2903
lru,10000,1482866,106638,2810
lru,20000,1482866,84548,2406
lru,30000,1482866,74137,2294
lru,40000,1482866,68941,2234
lru,50000,1482866,66620,2197
lru,60000,1482866,65745,2183
lru,70000,1482866,65656,2180
opt,100,1482866,163949,5961
opt,600,1482866,128512,3477
opt,700,1482866,125735,3387
opt,800,1482866,123279,3316
opt,900,1482866,121084,3244
opt,1000,1482866,119028,3168
opt,2000,1482866,104757,2778
opt,3000,1482866,95873,2593
opt,4000,1482866,89531,2469
opt,5000,1482866,84691,2414
opt,6000,1482866,80691,2355
opt,7000,1482866,77668,2331
opt,8000,1482866,74883,2311
opt,9000,1482866,72883,2285
opt,10000,1482866,70883,2258
opt,20000,1482866,65656,2180
opt,30000,1482866,65656,2180
opt,40000,1482866,65656,2180
opt,50000,1482866,65656,2180
opt,60000,1482866,65656,2180
opt,70000,1482866,65656,2180
