algo,ramSize,elements,reads,writes
amclock,6000,1000000,96379,0
amclock,7000,1000000,70978,0
amclock,8000,1000000,47320,0
amclock,9000,1000000,26971,0
amclock,10000,1000000,10000,0
lru,100,1000000,738311,0
lru,200,1000000,660753,0
lru,300,1000000,611268,0
lru,400,1000000,573957,0
lru,500,1000000,543869,0
lru,600,1000000,518449,0
lru,700,1000000,496235,0
lru,800,1000000,476749,0
lru,900,1000000,459120,0
lru,1000,1000000,443045,0
lru,2000,1000000,329349,0
lru,3000,1000000,254912,0
lru,4000,1000000,198853,0
lru,5000,1000000,153438,0
lru,6000,1000000,115026,0
lru,7000,1000000,82213,0
lru,8000,1000000,53914,0
lru,9000,1000000,29263,0
lru,10000,1000000,10000,0
newalgo 1,100,1000000,708558,0
newalgo 1,200,1000000,629331,0
newalgo 1,300,1000000,578613,0
newalgo 1,400,1000000,541623,0
newalgo 1,500,1000000,511451,0
newalgo 1,600,1000000,486152,0
newalgo 1,700,1000000,464106,0
newalgo 1,800,1000000,444871,0
newalgo 1,900,1000000,427395,0
newalgo 1,1000,1000000,411758,0
newalgo 1,2000,1000000,301121,0
newalgo 1,3000,1000000,230845,0
newalgo 1,4000,1000000,178614,0
newalgo 1,5000,1000000,137177,0
newalgo 1,6000,1000000,103013,0
newalgo 1,7000,1000000,73949,0
newalgo 1,8000,1000000,48733,0
newalgo 1,9000,1000000,27329,0
newalgo 1,10000,1000000,10000,0
newalgo 10,100,1000000,640011,0
newalgo 10,200,1000000,555031,0
newalgo 10,300,1000000,505684,0
newalgo 10,400,1000000,470936,0
newalgo 10,500,1000000,443925,0
newalgo 10,600,1000000,421208,0
newalgo 10,700,1000000,401478,0
newalgo 10,800,1000000,384099,0
newalgo 10,900,1000000,368612,0
newalgo 10,1000,1000000,354549,0
newalgo 10,2000,1000000,259336,0
newalgo 10,3000,1000000,200720,0
newalgo 10,4000,1000000,157903,0
newalgo 10,5000,1000000,123281,0
newalgo 10,6000,1000000,94604,0
newalgo 10,7000,1000000,69579,0
newalgo 10,8000,1000000,46984,0
newalgo 10,9000,1000000,26879,0
newalgo 10,10000,1000000,10000,0
newalgo 12,100,1000000,635808,0
newalgo 12,200,1000000,551248,0
newalgo 12,300,1000000,502164,0
newalgo 12,400,1000000,467444,0
newalgo 12,500,1000000,440757,0
newalgo 12,600,1000000,418133,0
newalgo 12,700,1000000,398400,0
newalgo 12,800,1000000,381043,0
newalgo 12,900,1000000,366012,0
newalgo 12,1000,1000000,352333,0
newalgo 12,2000,1000000,257666,0
newalgo 12,3000,1000000,199727,0
newalgo 12,4000,1000000,157361,0
newalgo 12,5000,1000000,123316,0
newalgo 12,6000,1000000,94621,0
newalgo 12,7000,1000000,69729,0
newalgo 12,8000,1000000,47065,0
newalgo 12,9000,1000000,26869,0
newalgo 12,10000,1000000,10000,0
newalgo 16,100,1000000,631948,0
newalgo 16,200,1000000,546319,0
newalgo 16,300,1000000,497443,0
newalgo 16,400,1000000,462821,0
newalgo 16,500,1000000,436174,0
newalgo 16,600,1000000,413753,0
newalgo 16,700,1000000,395101,0
newalgo 16,800,1000000,377616,0
newalgo 16,900,1000000,362465,0
newalgo 16,1000,1000000,349147,0
newalgo 16,2000,1000000,255668,0
newalgo 16,3000,1000000,198929,0
newalgo 16,4000,1000000,157154,0
newalgo 16,5000,1000000,123427,0
newalgo 16,6000,1000000,94832,0
newalgo 16,7000,1000000,69786,0
newalgo 16,8000,1000000,47276,0
newalgo 16,9000,1000000,26949,0
newalgo 16,10000,1000000,10000,0
newalgo 2,100,1000000,685362,0
newalgo 2,200,1000000,603860,0
newalgo 2,300,1000000,554284,0
newalgo 2,400,1000000,516992,0
newalgo 2,500,1000000,487480,0
newalgo 2,600,1000000,462756,0
newalgo 2,700,1000000,441575,0
newalgo 2,800,1000000,422699,0
newalgo 2,900,1000000,405585,0
newalgo 2,1000,1000000,390523,0
newalgo 2,2000,1000000,284416,0
newalgo 2,3000,1000000,218016,0
newalgo 2,4000,1000000,169430,0
newalgo 2,5000,1000000,130762,0
newalgo 2,6000,1000000,98843,0
newalgo 2,7000,1000000,71568,0
newalgo 2,8000,1000000,47747,0
newalgo 2,9000,1000000,27025,0
newalgo 2,10000,1000000,10000,0
newalgo 20,100,1000000,628904,0
newalgo 20,200,1000000,542343,0
newalgo 20,300,1000000,494792,0
newalgo 20,400,1000000,459829,0
newalgo 20,500,1000000,433499,0
newalgo 20,600,1000000,411156,0
newalgo 20,700,1000000,391696,0
newalgo 20,800,1000000,375120,0
newalgo 20,900,1000000,360646,0
newalgo 20,1000,1000000,347050,0
newalgo 20,2000,1000000,254433,0
newalgo 20,3000,1000000,198481,0
newalgo 20,4000,1000000,157244,0
newalgo 20,5000,1000000,123597,0
newalgo 20,6000,1000000,95252,0
newalgo 20,7000,1000000,69997,0
newalgo 20,8000,1000000,47434,0
newalgo 20,9000,1000000,27030,0
newalgo 20,10000,1000000,10000,0
newalgo 24,100,1000000,627225,0
newalgo 24,200,1000000,540101,0
newalgo 24,300,1000000,492305,0
newalgo 24,400,1000000,457505,0
newalgo 24,500,1000000,430978,0
newalgo 24,600,1000000,409166,0
newalgo 24,700,1000000,391265,0
newalgo 24,800,1000000,373372,0
newalgo 24,900,1000000,359119,0
newalgo 24,1000,1000000,345633,0
newalgo 24,2000,1000000,254041,0
newalgo 24,3000,1000000,198222,0
newalgo 24,4000,1000000,157360,0
newalgo 24,5000,1000000,123742,0
newalgo 24,6000,1000000,95464,0
newalgo 24,7000,1000000,70253,0
newalgo 24,8000,1000000,47525,0
newalgo 24,9000,1000000,27227,0
newalgo 24,10000,1000000,10000,0
newalgo 4,100,1000000,663135,0
newalgo 4,200,1000000,579954,0
newalgo 4,300,1000000,530729,0
newalgo 4,400,1000000,494210,0
newalgo 4,500,1000000,465821,0
newalgo 4,600,1000000,441643,0
newalgo 4,700,1000000,421260,0
newalgo 4,800,1000000,403267,0
newalgo 4,900,1000000,386864,0
newalgo 4,1000,1000000,371831,0
newalgo 4,2000,1000000,270905,0
newalgo 4,3000,1000000,208437,0
newalgo 4,4000,1000000,162696,0
newalgo 4,5000,1000000,126326,0
newalgo 4,6000,1000000,96100,0
newalgo 4,7000,1000000,70106,0
newalgo 4,8000,1000000,47092,0
newalgo 4,9000,1000000,26819,0
newalgo 4,10000,1000000,10000,0
newalgo 8,100,1000000,644348,0
newalgo 8,200,1000000,559177,0
newalgo 8,300,1000000,510750,0
newalgo 8,400,1000000,476280,0
newalgo 8,500,1000000,448133,0
newalgo 8,600,1000000,425389,0
newalgo 8,700,1000000,405503,0
newalgo 8,800,1000000,387922,0
newalgo 8,900,1000000,372169,0
newalgo 8,1000,1000000,357981,0
newalgo 8,2000,1000000,261439,0
newalgo 8,3000,1000000,202022,0
newalgo 8,4000,1000000,158731,0
newalgo 8,5000,1000000,123748,0
newalgo 8,6000,1000000,94892,0
newalgo 8,7000,1000000,69495,0
newalgo 8,8000,1000000,47034,0
newalgo 8,9000,1000000,26959,0
newalgo 8,10000,1000000,10000,0
newfinal,100,1000000,627225,0
newfinal,200,1000000,540101,0
newfinal,300,1000000,492305,0
newfinal,400,1000000,457505,0
newfinal,500,1000000,430978,0
newfinal,600,1000000,409166,0
newfinal,700,1000000,391265,0
newfinal,800,1000000,373372,0
newfinal,900,1000000,359119,0
newfinal,1000,1000000,345633,0
newfinal,2000,1000000,254041,0
newfinal,3000,1000000,198222,0
newfinal,4000,1000000,157360,0
newfinal,5000,1000000,123742,0
newfinal,6000,1000000,98707,0
newfinal,7000,1000000,72349,0
newfinal,8000,1000000,48467,0
newfinal,9000,1000000,27301,0
newfinal,10000,1000000,10000,0
